name,datetime,type,size,count_total,count_filtered
20211201/20211201221200.json.gz,2023-05-04 10:36:20,extraction,1518789,2296.0,4.0
20211201/20211201222400.json.gz,2023-05-04 10:36:21,extraction,1655501,2497.0,3.0
20211201/20211201221900.json.gz,2023-05-04 10:36:22,extraction,1637342,2451.0,4.0
20211201/20211201222000.json.gz,2023-05-04 10:36:23,extraction,1656196,2498.0,1.0
20211201/20211201221500.json.gz,2023-05-04 10:36:24,extraction,1656019,2477.0,1.0
20211201/20211201221700.json.gz,2023-05-04 10:36:24,extraction,1650530,2448.0,1.0
20211201/20211201221400.json.gz,2023-05-04 10:36:25,extraction,1632044,2447.0,2.0
20211201/20211201221600.json.gz,2023-05-04 10:36:25,extraction,1645286,2495.0,3.0
20211201/20211201221800.json.gz,2023-05-04 10:36:26,extraction,1522232,2292.0,3.0
20211201/20211201221300.json.gz,2023-05-04 10:36:28,extraction,1649635,2543.0,2.0
20211201/20211201221000.json.gz,2023-05-04 10:36:29,extraction,1778610,2640.0,1.0
20211201/20211201224000.json.gz,2023-05-04 10:36:30,extraction,1524671,2344.0,3.0
20211201/20211201220000.json.gz,2023-05-04 10:36:30,extraction,1679810,2601.0,5.0
20211201/20211201220600.json.gz,2023-05-04 10:36:31,extraction,1640949,2504.0,1.0
20211201/20211201220900.json.gz,2023-05-04 10:36:32,extraction,1640399,2464.0,1.0
20211201/20211201220700.json.gz,2023-05-04 10:36:32,extraction,1522083,2317.0,5.0
20211201/20211201220500.json.gz,2023-05-04 10:36:33,extraction,1517078,2333.0,5.0
20211201/20211201220800.json.gz,2023-05-04 10:36:34,extraction,1650433,2486.0,3.0
20211201/20211201220300.json.gz,2023-05-04 10:36:35,extraction,1658329,2528.0,2.0
20211201/20211201220400.json.gz,2023-05-04 10:36:35,extraction,1646064,2540.0,7.0
20211201/20211201220200.json.gz,2023-05-04 10:36:36,extraction,1662530,2526.0,4.0
20211201/20211201215900.json.gz,2023-05-04 10:36:37,extraction,1642706,2494.0,5.0
20211201/20211201215800.json.gz,2023-05-04 10:36:37,extraction,1639979,2537.0,3.0
20211201/20211201220100.json.gz,2023-05-04 10:36:38,extraction,1661550,2533.0,2.0
20211201/20211201215700.json.gz,2023-05-04 10:36:39,extraction,1513526,2356.0,1.0
20211201/20211201215300.json.gz,2023-05-04 10:36:39,extraction,1649204,2584.0,3.0
20211201/20211201215500.json.gz,2023-05-04 10:36:40,extraction,1517722,2373.0,0.0
20211201/20211201215400.json.gz,2023-05-04 10:36:40,extraction,1647396,2565.0,1.0
20211201/20211201215100.json.gz,2023-05-04 10:36:41,extraction,1633287,2471.0,2.0
20211201/20211201215600.json.gz,2023-05-04 10:36:41,extraction,1529529,2337.0,9.0
20211201/20211201214800.json.gz,2023-05-04 10:36:41,extraction,1515197,2335.0,4.0
20211201/20211201215200.json.gz,2023-05-04 10:36:42,extraction,1391906,2113.0,1.0
20211201/20211201214700.json.gz,2023-05-04 10:36:42,extraction,1517084,2351.0,6.0
20211201/20211201214600.json.gz,2023-05-04 10:36:43,extraction,1501337,2285.0,5.0
20211201/20211201214200.json.gz,2023-05-04 10:36:43,extraction,1640120,2501.0,5.0
20211201/20211201214000.json.gz,2023-05-04 10:36:44,extraction,1509116,2396.0,1.0
20211201/20211201214100.json.gz,2023-05-04 10:36:44,extraction,1507334,2312.0,3.0
20211201/20211201214300.json.gz,2023-05-04 10:36:45,extraction,1533330,2331.0,7.0
20211201/20211201215000.json.gz,2023-05-04 10:36:45,extraction,1520864,2332.0,2.0
20211201/20211201214500.json.gz,2023-05-04 10:36:46,extraction,1520039,2314.0,5.0
20211201/20211201213700.json.gz,2023-05-04 10:36:46,extraction,1518800,2422.0,4.0
20211201/20211201214900.json.gz,2023-05-04 10:36:47,extraction,1528187,2315.0,4.0
20211201/20211201214400.json.gz,2023-05-04 10:36:47,extraction,1642176,2535.0,3.0
20211201/20211201213900.json.gz,2023-05-04 10:36:48,extraction,1634956,2648.0,5.0
20211201/20211201213500.json.gz,2023-05-04 10:36:49,extraction,1514750,2336.0,5.0
20211201/20211201213400.json.gz,2023-05-04 10:36:49,extraction,1510410,2307.0,6.0
20211201/20211201213800.json.gz,2023-05-04 10:36:50,extraction,1499954,2367.0,4.0
20211201/20211201213300.json.gz,2023-05-04 10:36:51,extraction,1509889,2328.0,4.0
20211201/20211201213600.json.gz,2023-05-04 10:36:51,extraction,1389110,2150.0,0.0
20211201/20211201213200.json.gz,2023-05-04 10:36:52,extraction,1518421,2337.0,4.0
20211201/20211201212700.json.gz,2023-05-04 10:36:52,extraction,1508889,2307.0,5.0
20211201/20211201213100.json.gz,2023-05-04 10:36:53,extraction,1380867,2149.0,3.0
20211201/20211201213000.json.gz,2023-05-04 10:36:53,extraction,1640104,2553.0,3.0
20211201/20211201212900.json.gz,2023-05-04 10:36:54,extraction,1393216,2212.0,6.0
20211201/20211201212500.json.gz,2023-05-04 10:36:54,extraction,1525705,2401.0,8.0
20211201/20211201212800.json.gz,2023-05-04 10:36:55,extraction,1499470,2294.0,3.0
20211201/20211201212100.json.gz,2023-05-04 10:36:55,extraction,1510067,2328.0,3.0
20211201/20211201212300.json.gz,2023-05-04 10:36:56,extraction,1513368,2402.0,5.0
20211201/20211201212600.json.gz,2023-05-04 10:36:56,extraction,1389741,2111.0,6.0
20211201/20211201211700.json.gz,2023-05-04 10:36:57,extraction,1508397,2332.0,1.0
20211201/20211201212000.json.gz,2023-05-04 10:36:57,extraction,1517984,2364.0,7.0
20211201/20211201211800.json.gz,2023-05-04 10:36:58,extraction,1389538,2158.0,5.0
20211201/20211201212200.json.gz,2023-05-04 10:36:58,extraction,1392880,2176.0,5.0
